724666, DENVER/CENTENNIAL [GOLDEN - NREL], CO, -7, 39.742,-105.179, 1829
Date (MM/DD/YYYY),Time (HH:MM),Wspd (m/s),Dry-bulb (C),DHI (W/m^2),DNI (W/m^2),GHI (W/m^2),Alb (unitless)
01/07/1987,10:00,1.4312412399999999,28.425741777777777,265.4855,579.6000236666666,789.9696166666668,140.08280783333333
01/07/1987,11:00,1.0714528733333333,29.109170166666665,365.2301166666667,275.72569466666664,634.9642166666667,106.86752216666667
01/07/1987,12:00,1.835361355,31.350427222222223,177.49436666666668,851.9925559999999,989.16355,171.85224466666665
01/07/1987,13:00,1.8400894533333334,31.73301288888889,274.82480000000004,698.9550350000001,905.6268166666666,159.91392066666668
01/07/1987,14:00,1.414688205,31.702647555555554,356.45965,248.06007716666667,551.1677833333334,108.2744295
01/07/1987,15:00,2.794312535,28.68618872222222,268.66502166666663,104.94069223333332,342.2811183333333,64.682633
01/07/1987,16:00,2.87170137,26.917851055555555,178.99805333333333,192.85485508333335,264.746235,57.11596926666667
01/07/1987,17:00,1.8255116883333333,26.7866395,154.32343333333336,218.64993,236.45716666666667,50.630953833333336
01/07/1987,18:00,1.5768042833333333,24.90452188888889,69.97669833333333,86.19162185,81.03632666666667,15.351193166666667
01/07/1987,19:00,2.255003283333333,23.493323222222223,6.54594695,6.479984433333333,6.016435483333334,1.1725173166666667
01/07/1987,20:00,1.1206892361666665,21.733956944444444,0.0,0.24609211666666667,0.0,0.0
01/07/1987,21:00,1.3289511966666665,19.582949944444447,0.0,0.129894,0.0,0.08585767666666665
01/07/1987,22:00,1.64784778,18.77636061111111,0.0,0.10712556666666666,0.0,0.271886815
01/07/1987,23:00,1.45758262,17.110325444444445,0.0,0.023728183333333333,0.0,0.18606729333333333
01/07/1987,24:00,1.1636324933333335,16.18820227777778,0.0,0.012910833333333335,0.0,0.40082566
01/08/1987,01:00,1.115871651,16.055199944444446,0.0,0.023291700000000002,0.0,0.5154228033333333
01/08/1987,02:00,0.9279776369999999,15.694849055555554,0.0,0.0,0.0,0.47250960833333333
01/08/1987,03:00,1.034615615,15.314149722222222,0.0,0.007153383333333333,0.0,0.45823187833333334
01/08/1987,04:00,1.0443347076666667,15.393803666666665,6.141647283333333,55.50031666666667,8.188186316666666,1.2314787583333333
01/08/1987,05:00,1.5592506366666667,17.299561722222222,37.73809833333333,491.24420000000003,118.812085,26.259496249999998
01/08/1987,06:00,1.5699386733333334,21.532549777777778,60.26491333333333,736.5228666666667,310.94,76.1846355
01/08/1987,07:00,1.3063814066666666,23.84084261111111,77.70013833333334,833.3391333333333,505.51393333333334,114.43976683333334
01/08/1987,08:00,1.4342919966666665,24.400887666666666,85.55854,904.56105,698.8179333333334,140.61194666666668
01/08/1987,09:00,1.7008286416666667,25.790922388888887,85.75527333333334,953.8199000000001,856.5019666666667,155.97788666666665
01/08/1987,10:00,1.91207263,27.179972666666668,89.98975333333333,970.8530333333333,963.8882166666666,164.91181833333334
01/08/1987,11:00,2.2542769483333336,28.443648555555555,96.74784833333334,969.7892333333333,1015.9933333333333,169.622625
01/08/1987,12:00,2.6540097833333336,29.46652588888889,108.15716666666667,951.1784833333334,1009.0985999999999,168.31958333333333
01/08/1987,13:00,2.854725006666667,29.956544833333332,130.57463333333334,892.91335,934.9980166666667,159.21803866666667
01/08/1987,14:00,2.6222715266666667,30.729779277777777,131.68606666666668,893.1990000000001,850.0282166666667,153.46788166666664
01/08/1987,15:00,2.8429199,30.93172088888889,160.35741666666667,778.0739666666667,685.1677999999999,131.82236916666665
01/08/1987,16:00,2.248349333333333,29.15162272222222,129.58192333333332,278.1940982833333,283.96030333333334,65.06021249999999
01/08/1987,17:00,1.768403735,28.767849333333334,118.85453333333334,399.45361313333336,245.19279666666668,56.31624866666667
01/08/1987,18:00,1.7670380666666667,27.457137555555555,55.006409999999995,231.21950333333334,91.20184666666667,13.740879116666667
01/08/1987,19:00,1.6286528216666667,24.87660138888889,6.6931722,4.276840633333333,5.851722683333334,1.1004977216666667
01/08/1987,20:00,1.1605923733333334,22.501027722222222,0.0007132000000000001,0.11480228333333334,0.0,0.185914325
01/08/1987,21:00,1.048149937,20.7058265,0.0037521,0.09395216666666667,0.0,0.2718593366666667
01/08/1987,22:00,1.8927916816666666,21.090143333333334,0.0,0.18127564999999998,0.0,0.6439478283333333
01/08/1987,23:00,2.77805745,21.278313388888886,0.0,0.14420098333333334,0.0,0.34343811333333335
01/08/1987,24:00,1.96244943,19.269966555555552,0.0,0.1579567166666667,0.0,0.32913028499999997
01/09/1987,01:00,1.7780171716666666,17.335045055555554,0.0,0.22716245,0.0,0.343526035
01/09/1987,02:00,1.7457704366666666,17.411749055555557,0.0,0.11532596666666667,0.0,0.5010171816666666
01/09/1987,03:00,3.3653462666666667,18.208258722222222,0.0,0.13381981666666667,0.0,0.2862981233333333
01/09/1987,04:00,2.92414085,16.611952388888888,6.448416066666667,58.0813249,8.71286565,1.1165559083333332
01/09/1987,05:00,1.6498424533333333,16.440112944444444,38.04197166666667,520.1768666666667,124.07557,26.825024733333333
01/09/1987,06:00,1.13718196,20.535064166666665,55.23917333333333,778.0754833333334,320.5172,78.77204499999999
01/09/1987,07:00,1.2176122716666666,23.264592333333333,61.57571333333333,901.4405,526.8881666666667,119.551265
01/09/1987,08:00,1.3242407816666666,24.80816227777778,66.36100833333333,962.2186666666668,717.0782166666667,145.30945666666668
01/09/1987,09:00,1.520536515,27.18372627777778,70.34021833333333,994.9675333333332,874.6668833333333,161.86861166666668
01/09/1987,10:00,1.7097492716666667,28.271787777777778,88.04832499999999,957.8408,953.2819166666667,165.77863816666667
01/09/1987,11:00,2.2169119116666667,29.176871,79.76789333333333,1013.1733333333334,1041.4541666666667,176.50278166666666
01/09/1987,12:00,2.5052672216666663,29.963696000000002,82.50175833333333,1006.5800166666667,1035.5726666666667,175.09686666666667
01/09/1987,13:00,2.2205691216666663,30.551378444444442,82.57713166666667,993.0477,974.2275000000001,168.60353
01/09/1987,14:00,2.1523996666666667,31.042414666666666,83.10254499999999,962.4516166666667,857.0993833333334,155.34491666666665
01/09/1987,15:00,2.1396967716666664,31.28590572222222,81.141765,917.33435,698.0579333333334,136.006715
01/09/1987,16:00,2.059407773333333,30.97167761111111,83.434775,841.9731333333333,514.70025,109.63483049999999
01/09/1987,17:00,2.13127169,30.05579538888889,64.702,717.8243500000001,306.3706166666667,68.84712166666667
01/09/1987,18:00,2.001009563333333,28.338746,35.979425,234.3934194166667,81.860245,10.525888383333333
01/09/1987,19:00,0.8311499671666667,25.456838277777777,8.0884594,0.14699285,6.815140850000001,1.243402055
01/09/1987,20:00,0.9121308283333334,22.343025388888886,0.0,0.21564753333333334,0.0,0.0
01/09/1987,21:00,1.3993827683333333,20.436511333333332,0.0,0.13469245000000002,0.0,0.21464948666666667
01/09/1987,22:00,1.529711045,20.662770055555555,0.0,0.009159816666666666,0.0,0.2862077516666667
01/09/1987,23:00,1.5754691299999999,19.95626338888889,0.0042172500000000005,0.03646465,0.0,0.41498209166666666
01/09/1987,24:00,1.0584977711666665,19.33677088888889,0.0,0.05818631666666666,0.0,0.2575855783333333
01/10/1987,01:00,1.67147366,19.01485027777778,0.0,0.06071618333333333,0.0,0.3864138333333333
01/10/1987,02:00,1.1039790779999998,17.277686333333335,0.0,0.10948139999999999,0.0,0.05725308
01/10/1987,03:00,1.028135427,16.819257444444442,0.006790966666666666,0.0021808833333333334,0.0,0.5439648666666667
01/10/1987,04:00,1.13373795,15.52603827777778,5.625129066666667,11.222069316666667,5.064143916666667,1.259921495
01/10/1987,05:00,1.07278966,15.010677944444444,42.1078,97.1678595,55.852756666666664,11.097692966666667
01/10/1987,06:00,0.8724412966666667,18.53003933333333,61.690084999999996,626.9929233333334,282.69979666666666,66.50825549999999
01/10/1987,07:00,0.8944058533333333,23.729046166666667,203.56570833333333,621.0249033333333,512.2351666666667,118.325953
01/10/1987,08:00,1.43021268,24.428628166666666,329.0384833333334,512.013005,683.7253166666667,143.3597343333333
01/10/1987,09:00,1.363945575,25.736272444444445,392.2951166666666,232.64907333333335,588.5151999999999,115.79958383333333
01/10/1987,10:00,2.118958815,28.03139872222222,158.1198666666667,948.8687166666666,1017.3518333333334,178.03165166666668
01/10/1987,11:00,3.220298816666667,30.773549833333334,117.33496666666666,974.0590666666667,1041.847,177.52491
01/10/1987,12:00,3.4885031,30.608522333333333,192.21486666666667,865.5017166666668,1013.7950500000001,185.1066933333333
01/10/1987,13:00,3.3749716833333334,30.576915944444444,290.06536666666665,462.24383245,714.98965,141.90538933333335
01/10/1987,14:00,1.8665139983333332,28.25781938888889,212.41728333333333,3.0728020166666665,212.93133333333336,44.340106500000005
01/10/1987,15:00,1.1364382871666665,29.213319555555554,262.32081666666664,117.23212761666667,344.65926666666667,74.0741625
